Number,Total,Hp,Atk,Def,SpAtk,SpDef,Speed,Type 1,Type 2
1,318,45,49,49,65,65,45,1,6
2,405,60,62,63,80,80,60,1,6
3,525,80,82,83,100,100,80,1,6
3,625,80,100,123,122,120,80,1,6
4,309,39,52,43,60,50,65,2,
5,405,58,64,58,80,65,80,2,
6,534,78,84,78,109,85,100,2,18
6,634,78,130,111,130,85,100,2,15
6,634,78,104,78,159,115,100,2,18
7,314,44,48,65,50,64,43,3,
8,405,59,63,80,65,80,58,3,
9,530,79,83,100,85,105,78,3,
9,630,79,103,120,135,115,78,3,
10,195,45,30,35,20,20,45,4,
11,205,50,20,55,25,25,30,4,
12,395,60,45,50,90,80,70,4,18
13,195,40,35,30,20,20,50,4,6
14,205,45,25,50,25,25,35,4,6
15,395,65,90,40,45,80,75,4,6
15,495,65,150,40,15,80,145,4,6
16,251,40,45,40,35,35,56,5,18
17,349,63,60,55,50,50,71,5,18
18,479,83,80,75,70,70,101,5,18
18,579,83,80,80,135,80,121,5,18
19,253,30,56,35,25,35,72,5,
20,413,55,81,60,50,70,97,5,
21,262,40,60,30,31,31,70,5,18
22,442,65,90,65,61,61,100,5,18
23,288,35,60,44,40,54,55,6,
24,438,60,85,69,65,79,80,6,
25,320,35,55,40,50,50,90,7,
26,485,60,90,55,90,80,110,7,
27,300,50,75,85,20,30,40,8,
28,450,75,100,110,45,55,65,8,
29,275,55,47,52,40,40,41,6,
30,365,70,62,67,55,55,56,6,
31,505,90,92,87,75,85,76,6,8
32,273,46,57,40,40,40,50,6,
33,365,61,72,57,55,55,65,6,
34,505,81,102,77,85,75,85,6,8
35,323,70,45,48,60,65,35,9,
36,483,95,70,73,95,90,60,9,
37,299,38,41,40,50,65,65,2,
38,505,73,76,75,81,100,100,2,
39,270,115,45,20,45,25,20,5,9
40,435,140,70,45,85,50,45,5,9
41,245,40,45,35,30,40,55,6,18
42,455,75,80,70,65,75,90,6,18
43,320,45,50,55,75,65,30,1,6
44,395,60,65,70,85,75,40,1,6
45,490,75,80,85,110,90,50,1,6
46,285,35,70,55,45,55,25,4,1
47,405,60,95,80,60,80,30,4,1
48,305,60,55,50,40,55,45,4,6
49,450,70,65,60,90,75,90,4,6
50,265,10,55,25,35,45,95,8,
51,405,35,80,50,50,70,120,8,
52,290,40,45,35,40,40,90,5,
53,440,65,70,60,65,65,115,5,
54,320,50,52,48,65,50,55,3,
55,500,80,82,78,95,80,85,3,
56,305,40,80,35,35,45,70,10,
57,455,65,105,60,60,70,95,10,
58,350,55,70,45,70,50,60,2,
59,555,90,110,80,100,80,95,2,
60,300,40,50,40,40,40,90,3,
61,385,65,65,65,50,50,90,3,
62,510,90,95,95,70,90,70,3,10
63,310,25,20,15,105,55,90,11,
64,400,40,35,30,120,70,105,11,
65,500,55,50,45,135,95,120,11,
65,590,55,50,65,175,95,150,11,
66,305,70,80,50,35,35,35,10,
67,405,80,100,70,50,60,45,10,
68,505,90,130,80,65,85,55,10,
69,300,50,75,35,70,30,40,1,6
70,390,65,90,50,85,45,55,1,6
71,490,80,105,65,100,70,70,1,6
72,335,40,40,35,50,100,70,3,6
73,515,80,70,65,80,120,100,3,6
74,300,40,80,100,30,30,20,12,8
75,390,55,95,115,45,45,35,12,8
76,495,80,120,130,55,65,45,12,8
77,410,50,85,55,65,65,90,2,
78,500,65,100,70,80,80,105,2,
79,315,90,65,65,40,40,15,3,11
80,490,95,75,110,100,80,30,3,11
80,590,95,75,180,130,80,30,3,11
81,325,25,35,70,95,55,45,7,17
82,465,50,60,95,120,70,70,7,17
83,352,52,65,55,58,62,60,5,18
84,310,35,85,45,35,35,75,5,18
85,460,60,110,70,60,60,100,5,18
86,325,65,45,55,45,70,45,3,
87,475,90,70,80,70,95,70,3,14
88,325,80,80,50,40,50,25,6,
89,500,105,105,75,65,100,50,6,
90,305,30,65,100,45,25,40,3,
91,525,50,95,180,85,45,70,3,14
92,310,30,35,30,100,35,80,13,6
93,405,45,50,45,115,55,95,13,6
94,500,60,65,60,130,75,110,13,6
94,600,60,65,80,170,95,130,13,6
95,385,35,45,160,30,45,70,12,8
96,328,60,48,45,43,90,42,11,
97,483,85,73,70,73,115,67,11,
98,325,30,105,90,25,25,50,3,
99,475,55,130,115,50,50,75,3,
100,330,40,30,50,55,55,100,7,
101,480,60,50,70,80,80,140,7,
102,325,60,40,80,60,45,40,1,11
103,520,95,95,85,125,65,55,1,11
104,320,50,50,95,40,50,35,8,
105,425,60,80,110,50,80,45,8,
106,455,50,120,53,35,110,87,10,
107,455,50,105,79,35,110,76,10,
108,385,90,55,75,60,75,30,5,
109,340,40,65,95,60,45,35,6,
110,490,65,90,120,85,70,60,6,
111,345,80,85,95,30,30,25,8,12
112,485,105,130,120,45,45,40,8,12
113,450,250,5,5,35,105,50,5,
114,435,65,55,115,100,40,60,1,
115,490,105,95,80,40,80,90,5,
115,590,105,125,100,60,100,100,5,
116,295,30,40,70,70,25,60,3,
117,440,55,65,95,95,45,85,3,
118,320,45,67,60,35,50,63,3,
119,450,80,92,65,65,80,68,3,
120,340,30,45,55,70,55,85,3,
121,520,60,75,85,100,85,115,3,11
122,460,40,45,65,100,120,90,11,9
123,500,70,110,80,55,80,105,4,18
124,455,65,50,35,115,95,95,14,11
125,490,65,83,57,95,85,105,7,
126,495,65,95,57,100,85,93,2,
127,500,65,125,100,55,70,85,4,
127,600,65,155,120,65,90,105,4,18
128,490,75,100,95,40,70,110,5,
129,200,20,10,55,15,20,80,3,
130,540,95,125,79,60,100,81,3,18
130,640,95,155,109,70,130,81,3,16
131,535,130,85,80,85,95,60,3,14
132,288,48,48,48,48,48,48,5,
133,325,55,55,50,45,65,55,5,
134,525,130,65,60,110,95,65,3,
135,525,65,65,60,110,95,130,7,
136,525,65,130,60,95,110,65,2,
137,395,65,60,70,85,75,40,5,
138,355,35,40,100,90,55,35,12,3
139,495,70,60,125,115,70,55,12,3
140,355,30,80,90,55,45,55,12,3
141,495,60,115,105,65,70,80,12,3
142,515,80,105,65,60,75,130,12,18
142,615,80,135,85,70,95,150,12,18
143,540,160,110,65,65,110,30,5,
144,580,90,85,100,95,125,85,14,18
145,580,90,90,85,125,90,100,7,18
146,580,90,100,90,125,85,90,2,18
147,300,41,64,45,50,50,50,15,
148,420,61,84,65,70,70,70,15,
149,600,91,134,95,100,100,80,15,18
150,680,106,110,90,154,90,130,11,
150,780,106,190,100,154,100,130,11,10
150,780,106,150,70,194,120,140,11,
151,600,100,100,100,100,100,100,11,
152,318,45,49,65,49,65,45,1,
153,405,60,62,80,63,80,60,1,
154,525,80,82,100,83,100,80,1,
155,309,39,52,43,60,50,65,2,
156,405,58,64,58,80,65,80,2,
157,534,78,84,78,109,85,100,2,
158,314,50,65,64,44,48,43,3,
159,405,65,80,80,59,63,58,3,
160,530,85,105,100,79,83,78,3,
161,215,35,46,34,35,45,20,5,
162,415,85,76,64,45,55,90,5,
163,262,60,30,30,36,56,50,5,18
164,442,100,50,50,76,96,70,5,18
165,265,40,20,30,40,80,55,4,18
166,390,55,35,50,55,110,85,4,18
167,250,40,60,40,40,40,30,4,6
168,390,70,90,70,60,60,40,4,6
169,535,85,90,80,70,80,130,6,18
170,330,75,38,38,56,56,67,3,7
171,460,125,58,58,76,76,67,3,7
172,205,20,40,15,35,35,60,7,
173,218,50,25,28,45,55,15,9,
174,210,90,30,15,40,20,15,5,9
175,245,35,20,65,40,65,20,9,
176,405,55,40,85,80,105,40,9,18
177,320,40,50,45,70,45,70,11,18
178,470,65,75,70,95,70,95,11,18
179,280,55,40,40,65,45,35,7,
180,365,70,55,55,80,60,45,7,
181,510,90,75,85,115,90,55,7,
181,610,90,95,105,165,110,45,7,15
182,490,75,80,95,90,100,50,1,
183,250,70,20,50,20,50,40,3,9
184,420,100,50,80,60,80,50,3,9
185,410,70,100,115,30,65,30,12,
186,500,90,75,75,90,100,70,3,
187,250,35,35,40,35,55,50,1,18
188,340,55,45,50,45,65,80,1,18
189,460,75,55,70,55,95,110,1,18
190,360,55,70,55,40,55,85,5,
191,180,30,30,30,30,30,30,1,
192,425,75,75,55,105,85,30,1,
193,390,65,65,45,75,45,95,4,18
194,210,55,45,45,25,25,15,3,8
195,430,95,85,85,65,65,35,3,8
196,525,65,65,60,130,95,110,11,
197,525,95,65,110,60,130,65,16,
198,405,60,85,42,85,42,91,16,18
199,490,95,75,80,100,110,30,3,11
200,435,60,60,60,85,85,85,13,
201,336,48,72,48,72,48,48,11,
